"id","expt","LM","firstStop","closestStop","overall"
"1","1","Y",1904.37841855204,94.7053470248384,69.7587870918377
"2","1","Y",584.982382782587,465.34731303305,294.414728219321
"3","1","Y",1319.49925524803,144.406925995052,136.639679667461
"4","1","Y",941.307844471618,188.484740347506,164.483246551424
"5","1","Y",544.389761951652,153.728347881724,144.355731901787
"6","1","Y",488.292080194241,73.6996325694603,67.4546171359079
"7","1","Y",1543.9109471741,367.442144199428,363.58200847995
"8","1","Y",1180.72999153866,574.809723033749,449.400289851189
"9","1","Y",232.855511666705,122.657603766581,67.5563257954907
"10","1","Y",242.703177218225,145.174980674029,135.798557004141
"11","1","Y",552.225461745239,136.487308067417,106.625527343018
"12","1","Y",175.451950065555,34.168926120712,23.5870875002673
"13","1","Y",326.983239778055,156.856322832649,47.8356425887798
"14","1","Y",1325.24921905348,177.517377340183,38.0069199974959
"1","2","N",459.897421457079,450.487516093335,66.1007886568245
"2","2","Y",537.451740155732,137.564514386665,70.5323215735861
"3","2","N",986.560242605178,986.560242605178,429.904411865796
"4","2","Y",488.575426385973,153.113607559231,150.435794966811
"5","2","N",309.261119478153,248.752301536114,184.951515672407
"6","2","Y",245.450023154908,244.929068043026,242.747431454742
"7","2","Y",710.421204987756,112.293243037467,23.3609414709255
"8","2","Y",2424.70641184565,987.620872555276,902.702495374263
"9","2","Y",925.761641598245,74.0784006231321,34.0468135554232
"10","2","N",1348.1864400639,1348.1864400639,996.075934814533
"11","2","N",542.736263677802,542.736263677802,286.279577823687
"12","2","N",2095.31732792323,295.099170842735,159.566801564676
"13","2","Y",947.22834317611,100.479300056581,26.2370480093056
"14","2","N",2297.04243926952,150.67062882873,150.67062882873
"1","3","N",779.536232532248,650.570492375213,98.090892752228
"2","3","Y",260.669631839223,80.773051234143,77.042705742975
"3","3","N",1522.17346080061,163.329800965833,54.0734550937017
"4","3","Y",267.513253733386,193.106801581163,182.353411873015
"5","3","N",893.234195005969,173.74073213515,173.74073213515
"6","3","Y",1070.1736145803,207.565005702874,202.356655971216
"7","3","Y",751.696211299453,152.659373006738,147.085376756557
"8","3","Y",1480.2652444737,280.521580339999,114.360264870883
"9","3","Y",149.660193983503,99.0598021676763,54.9601689798624
"10","3","N",816.453407744747,796.233232216835,436.648435876078
"11","3","N",1229.10965905036,569.191727481739,565.948901592279
"12","3","N",3529.23124733635,330.056661319997,219.86204469969
"13","3","Y",171.100052918002,48.0908736009979,17.9374492318362
"14","3","N",438.679879516145,416.658493466844,112.098551111334
